Date,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,TurnoverRate,MA10,MA50,EMA12,EMA26,MACD,MACD_Signal,MACD_Hist,RSI,Momentum,ATR
2021-06-11,7.54,7.56,7.78,7.5,97140,74162497.0,3.78,2.16,0.16,4.78,7.479000000000001,7.2074,7.437888240224122,7.351289123083158,0.08659911714096413,0.08310067617591242,0.0034984409650517106,58.99999999999999,-0.013054830287206332,0.28785714285714276
2021-06-15,7.51,7.65,7.77,7.45,95264,72940709.0,4.23,1.19,0.09,4.69,7.4799999999999995,7.2224,7.470520818651181,7.373415854706628,0.09710496394455337,0.08590153372964061,0.011203430214912755,65.46391752577321,0.0013089005235602524,0.29785714285714265
2021-06-16,7.54,7.39,7.65,7.34,57327,42757125.0,4.05,-3.4,-0.26,2.82,7.4670000000000005,7.232,7.4581330003971535,7.374644309913544,0.08348869048360985,0.08541896508043446,-0.0019302745968246132,55.50239234449759,-0.017287234042553168,0.2878571428571427
2021-06-17,7.37,7.61,7.74,7.34,79691,60610707.0,5.41,2.98,0.22,3.92,7.481999999999999,7.2494000000000005,7.4814971541822075,7.392078064734763,0.08941908944744448,0.08621898995383646,0.0032000994936080135,41.509433962264175,0.020107238605898248,0.26499999999999985
2021-06-18,7.69,7.53,7.74,7.46,61996,46818018.0,3.68,-1.05,-0.08,3.05,7.489,7.2676,7.4889591304618675,7.40229450438404,0.08666462607782766,0.08630811717863471,0.0003565088991929477,45.517241379310356,0.009383378016085908,0.22999999999999993
2021-06-21,7.47,7.58,7.6,7.44,38350,28846364.0,2.12,0.66,0.05,1.89,7.511999999999999,7.2844,7.502965418083119,7.415457874429666,0.08750754365345248,0.08654800247359826,0.000959541179854223,47.97297297297299,0.0312925170068028,0.22499999999999984
2021-06-22,7.66,7.65,7.72,7.57,54686,41735617.0,1.98,0.92,0.07,2.69,7.535000000000001,7.3016000000000005,7.525586122993409,7.432831365212654,0.09275475778075482,0.08778935353502958,0.004965404245725238,54.54545454545457,0.030997304582210283,0.22142857142857128
2021-06-23,7.67,7.65,7.8,7.6,70018,53823486.0,2.61,0.0,0.0,3.44,7.546000000000001,7.3214,7.544726719455961,7.448917930752457,0.09580878870350418,0.0893932405687245,0.0064155481347796806,56.934306569343065,0.01458885941644561,0.22357142857142845
2021-06-24,5.79,5.86,5.9,5.72,50812,29638135.0,2.35,-23.4,-1.79,1.92,7.388000000000001,7.305,7.285537993385814,7.331220306252275,-0.04568231286646096,0.06237812988168741,-0.10806044274814837,24.68354430379749,-0.2123655913978495,0.35071428571428565
2021-06-25,5.79,5.62,5.8,5.53,103141,57933028.0,4.61,-4.1,-0.24,3.9,7.209999999999999,7.2860000000000005,7.029301379018766,7.204463246529884,-0.17516186751111817,0.014870130403126292,-0.19003199791424447,23.70820668693011,-0.24054054054054053,0.35928571428571426
